title,price,description,link
Consola Playstation 5 Slim Digital - 1tb - Ps5 1 Control,2263900.0,Sin descripción,https://articulo.mercadolibre.com.co/MCO-1358055825-consola-playstation-5-slim-digital-1tb-ps5-1-control-_JM#polycard_client=search-nordic&position=26&search_layout=stack&type=item&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348
Sony PlayStation 2 Slim SCPH-900 Standard  color ceramic white,1000000.0,Sin descripción,https://www.mercadolibre.com.co/sony-playstation-2-slim-scph-900-standard-color-ceramic-white/p/MCO6321323#polycard_client=search-nordic&searchVariation=MCO6321323&position=21&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO2200622682&sid=search
Playstation 5 Slim 1tb Disco + Control Ps5 + Fc 25 Ps5,3024900.0,Sin descripción,https://articulo.mercadolibre.com.co/MCO-2712683642-playstation-5-slim-1tb-disco-control-ps5-fc-25-ps5-_JM#polycard_client=search-nordic&position=27&search_layout=stack&type=item&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348
Consola Sony Playstation 5 Ps5 Slim 1tb Edicion Digital Bundle Ratchet & Clank: Rift Apart + Returnal,2499000.0,Sin descripción,https://www.mercadolibre.com.co/consola-sony-playstation-5-ps5-slim-1tb-edicion-digital-bundle-ratchet-clank-rift-apart-returnal/p/MCO37300294#polycard_client=search-nordic&searchVariation=MCO37300294&position=19&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO1466854627&sid=search
Playstation 5 Slim Ratchet Y Clank Y Returnal Color Blanco,2829000.0,Sin descripción,https://www.mercadolibre.com.co/playstation-5-slim-ratchet-y-clank-y-returnal-color-blanco/p/MCO34863177#polycard_client=search-nordic&searchVariation=MCO34863177&position=20&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO1443786685&sid=search
Sony PlayStation 4 Slim CUH-2215A 500GB Standard  color negro azabache 2016,1539710.0,Sin descripción,https://www.mercadolibre.com.co/sony-playstation-4-slim-cuh-2215a-500gb-standard-color-negro-azabache-2016/p/MCO10813731#polycard_client=search-nordic&searchVariation=MCO10813731&position=9&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO1329184379&sid=search
Sony PlayStation 5 825GB Horizon Forbidden West Bundle  color blanco y negro 2020,2702000.0,Sin descripción,https://www.mercadolibre.com.co/sony-playstation-5-825gb-horizon-forbidden-west-bundle-color-blanco-y-negro-2020/p/MCO19038334#polycard_client=search-nordic&searchVariation=MCO19038334&position=5&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO961940191&sid=search
Play Station Vr2. Nueva Y Sellada. Entrega Inmediata,2702000.0,Sin descripción,https://articulo.mercadolibre.com.co/MCO-1309208887-play-station-vr2-nueva-y-sellada-entrega-inmediata-_JM#polycard_client=search-nordic&position=28&search_layout=stack&type=item&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348
Sony PlayStation 4 Slim CUH-2215A 1TB Standard  color negro azabache 2016,1485148.0,Sin descripción,https://www.mercadolibre.com.co/sony-playstation-4-slim-cuh-2215a-1tb-standard-color-negro-azabache-2016/p/MCO10813733#polycard_client=search-nordic&searchVariation=MCO10813733&position=10&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO2357691234&sid=search
Sony PlayStation Classic SCPH-1000R 16GB Standard  color gris 2020,748999.0,Sin descripción,https://www.mercadolibre.com.co/sony-playstation-classic-scph-1000r-16gb-standard-color-gris-2020/p/MCO14023754#polycard_client=search-nordic&searchVariation=MCO14023754&position=6&search_layout=stack&type=product&tracking_id=04cd86fb-9b17-4221-a3c3-af84c44b2348&wid=MCO630197628&sid=search
